,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,sunshine_duration
48,2019-01-06 17:00:00+00:00,25.457,87.9165,30.125744,0.5,0.5,51.0,40.5,6.924738,188.97255,0.0
49,2019-01-06 20:00:00+00:00,24.157,96.165985,29.325733,1.2,1.2,51.0,38.7,4.3349743,228.36655,0.0
50,2019-01-06 23:00:00+00:00,24.057001,97.62334,29.421692,1.5,1.5,53.0,100.0,3.6179552,354.2895,0.0
51,2019-01-07 02:00:00+00:00,28.657,75.99305,34.495502,0.4,0.4,51.0,18.6,1.8,360.0,10422.527
52,2019-01-07 05:00:00+00:00,30.707,70.21231,37.024757,0.2,0.2,51.0,90.0,10.440001,360.0,10800.0
53,2019-01-07 08:00:00+00:00,29.707,71.0894,34.967087,0.3,0.3,51.0,39.300003,11.27553,343.3007,10800.0
54,2019-01-07 11:00:00+00:00,27.657,82.50631,33.326538,0.2,0.2,51.0,43.2,4.6938257,327.52884,10248.419
55,2019-01-07 14:00:00+00:00,26.457,87.47472,32.09968,0.2,0.2,51.0,70.2,4.0249224,206.56499,0.0
56,2019-01-07 17:00:00+00:00,24.357,96.461494,29.695652,2.5,2.5,53.0,44.7,4.2136917,199.9832,0.0
57,2019-01-07 20:00:00+00:00,23.557001,96.149025,28.4427,1.3,1.3,51.0,66.600006,3.8268526,138.81418,0.0
58,2019-01-07 23:00:00+00:00,23.907,97.03366,29.311642,7.1000004,7.1000004,61.0,72.600006,2.3051248,128.65984,0.0
59,2019-01-08 02:00:00+00:00,27.307001,80.26294,32.9016,4.2999997,4.2999997,61.0,34.5,1.8,90.0,8196.815
60,2019-01-08 05:00:00+00:00,30.357,67.461494,36.00844,0.1,0.1,51.0,51.9,7.9526596,5.19435,10800.0
61,2019-01-08 08:00:00+00:00,30.307001,71.41031,37.41019,0.3,0.3,51.0,42.0,4.3349743,318.36655,10800.0
62,2019-01-08 11:00:00+00:00,26.457,89.327934,32.646168,7.7000003,7.7000003,63.0,57.300003,1.8,53.13002,10271.76
63,2019-01-08 14:00:00+00:00,26.057001,92.56358,32.165516,0.1,0.1,51.0,52.2,3.2399998,180.0,0.0
64,2019-01-08 17:00:00+00:00,24.757,96.76165,30.325111,0.1,0.1,51.0,69.9,4.5536795,161.56496,0.0
65,2019-01-08 20:00:00+00:00,23.857,95.577995,28.72792,0.3,0.3,51.0,42.300003,4.73506,188.74608,0.0
66,2019-01-08 23:00:00+00:00,23.557001,96.149025,28.6222,0.2,0.2,51.0,56.4,2.5959969,213.6901,0.0
67,2019-01-09 02:00:00+00:00,28.057001,79.16544,33.696365,0.3,0.3,51.0,92.99999,3.6,360.0,10363.794
68,2019-01-09 05:00:00+00:00,28.957,77.64918,34.000977,2.5,2.5,53.0,73.8,11.659777,351.11942,10800.0
69,2019-01-09 08:00:00+00:00,28.307001,78.72653,33.863926,2.1,2.1,53.0,73.2,9.693296,31.328646,10800.0
70,2019-01-09 11:00:00+00:00,27.007,85.19755,32.47871,2.6,2.6,53.0,41.7,5.6233797,39.805527,10294.524
